# z Ex Hy
83.000000 0.016504 0.016504
84.000000 0.023527 0.023527
85.000000 0.030457 0.030457
86.000000 0.037267 0.037267
87.000000 0.043929 0.043929
88.000000 0.050419 0.050419
89.000000 0.056710 0.056710
90.000000 0.062776 0.062776
91.000000 0.068595 0.068595
92.000000 0.074144 0.074144
93.000000 0.079399 0.079399
94.000000 0.084341 0.084341
95.000000 0.088950 0.088950
96.000000 0.093209 0.093209
97.000000 0.097100 0.097100
98.000000 0.100607 0.100607
99.000000 0.103717 0.103717
100.000000 0.106418 0.106418
101.000000 0.108699 0.108699
102.000000 0.110552 0.110552
103.000000 0.111966 0.111966
104.000000 0.112939 0.112939
105.000000 0.113469 0.113469
106.000000 0.113550 0.113550
107.000000 0.113181 0.113181
108.000000 0.112365 0.112365
109.000000 0.111108 0.111108
110.000000 0.109413 0.109413
111.000000 0.107284 0.107284
112.000000 0.104731 0.104731
113.000000 0.101766 0.101766
114.000000 0.098401 0.098401
115.000000 0.094646 0.094646
116.000000 0.090516 0.090516
117.000000 0.086030 0.086030
118.000000 0.081207 0.081207
119.000000 0.076061 0.076061
120.000000 0.070613 0.070613
121.000000 0.064888 0.064888
122.000000 0.058910 0.058910
123.000000 0.052696 0.052696
124.000000 0.046274 0.046274
125.000000 0.039670 0.039670
126.000000 0.032911 0.032911
127.000000 0.026021 0.026021
128.000000 0.019025 0.019025
129.000000 0.011965 0.011965
130.000000 0.004817 0.004817
131.000000 -0.002171 -0.002171
132.000000 -0.009902 -0.009902
133.000000 -0.014655 -0.014655
134.000000 -0.030088 -0.030088
135.000000 -0.008728 -0.008728
136.000000 -0.104145 -0.104145
137.000000 0.146474 0.146474
138.000000 -0.548630 -0.548630
139.000000 1.130153 1.130153
140.000000 -2.599518 -2.599518
141.000000 4.675527 4.675527
142.000000 -7.455694 -7.455694
143.000000 8.246868 8.246868
144.000000 -2.622039 -2.622039
145.000000 -17.614008 -17.614008
146.000000 56.091874 56.091874
147.000000 -100.313187 -100.313187
148.000000 100.502170 100.502170
149.000000 25.606230 25.606230
150.000000 -331.843022 -331.843022
151.000000 694.684316 694.684316
152.000000 -684.683532 -684.683532
153.000000 -285.915204 -285.915204
154.000000 2257.248718 2257.248718
155.000000 -3743.709445 -3743.709445
156.000000 1783.371576 1783.371576
157.000000 5309.221662 5309.221662
158.000000 -13195.304400 -13195.304400
159.000000 10441.160913 10441.160913
160.000000 11363.098665 11363.098665
161.000000 -39128.856130 -39128.856130
162.000000 34454.606309 34454.606309
163.000000 29122.153557 29122.153557
164.000000 -106116.980008 -106116.980008
165.000000 81789.636294 81789.636294
166.000000 95627.024718 95627.024718
167.000000 -260956.712187 -260956.712187
168.000000 124830.770364 124830.770364
169.000000 317177.656184 317177.656184
170.000000 -536181.956773 -536181.956773
171.000000 -576.359330 -576.359330
172.000000 866228.638654 866228.638654
173.000000 -763545.081217 -763545.081217
174.000000 -695737.076029 -695737.076029
175.000000 1701828.764161 1701828.764161
176.000000 -254588.912010 -254588.912010
177.000000 -2263495.572153 -2263495.572153
178.000000 1870129.301444 1870129.301444
179.000000 1921129.805450 1921129.805450
180.000000 -3630392.510366 -3630392.510366
181.000000 -495350.889304 -495350.889304
182.000000 4861815.892625 4861815.892625
183.000000 -1719548.432021 -1719548.432021
184.000000 -5084188.439265 -5084188.439265
185.000000 4096403.567933 4096403.567933
186.000000 4233939.136056 4233939.136056
187.000000 -5969043.363079 -5969043.363079
188.000000 -2656903.592467 -2656903.592467
189.000000 6894912.667344 6894912.667344
190.000000 916280.757530 916280.757530
191.000000 -6761866.692561 -6761866.692561
192.000000 452931.361410 452931.361410
193.000000 5730318.583380 5730318.583380
194.000000 -1124602.925218 -1124602.925218
195.000000 -4087750.590471 -4087750.590471
196.000000 1048110.167074 1048110.167074
197.000000 2111250.274004 2111250.274004
198.000000 -416972.072455 -416972.072455
199.000000 0.000000 0.000000
