# t	k	Ex	Hy
5.000000	84	-0.061750	-0.060852
5.000000	85	-0.056650	-0.055789
5.000000	86	-0.051326	-0.050506
5.000000	87	-0.045799	-0.045024
5.000000	88	-0.040092	-0.039364
5.000000	89	-0.034227	-0.033548
5.000000	90	-0.028226	-0.027601
5.000000	91	-0.022114	-0.021544
5.000000	92	-0.015915	-0.015402
5.000000	93	-0.009653	-0.009200
5.000000	94	-0.003353	-0.002961
5.000000	95	0.002960	0.003289
5.000000	96	0.009262	0.009527
5.000000	97	0.015527	0.015727
5.000000	98	0.021731	0.021864
5.000000	99	0.027849	0.027916
5.000000	100	0.033857	0.033857
5.000000	101	0.039732	0.039665
5.000000	102	0.045449	0.045316
5.000000	103	0.050988	0.050788
5.000000	104	0.056325	0.056060
5.000000	105	0.061440	0.061111
5.000000	106	0.066312	0.065920
5.000000	107	0.070923	0.070470
5.000000	108	0.075254	0.074741
5.000000	109	0.079287	0.078717
5.000000	110	0.083008	0.082383
5.000000	111	0.086401	0.085723
5.000000	112	0.089454	0.088725
5.000000	113	0.092153	0.091377
5.000000	114	0.094489	0.093669
5.000000	115	0.096451	0.095590
5.000000	116	0.098033	0.097135
5.000000	117	0.099228	0.098296
5.000000	118	0.100032	0.099069
5.000000	119	0.100441	0.099451
5.000000	120	0.100453	0.099441
5.000000	121	0.100069	0.099038
5.000000	122	0.099290	0.098245
5.000000	123	0.098119	0.097063
5.000000	124	0.096561	0.095499
5.000000	125	0.094622	0.093558
5.000000	126	0.092309	0.091247
5.000000	127	0.089632	0.088576
5.000000	128	0.086601	0.085556
5.000000	129	0.083229	0.082198
5.000000	130	0.079528	0.078516
5.000000	131	0.075513	0.074524
5.000000	132	0.071200	0.070238
5.000000	133	0.066607	0.065674
5.000000	134	0.061750	0.060852
5.000000	135	0.056650	0.055789
5.000000	136	0.051326	0.050506
5.000000	137	0.045799	0.045024
5.000000	138	0.040092	0.039364
5.000000	139	0.034227	0.033548
5.000000	140	0.028226	0.027601
5.000000	141	0.022114	0.021544
5.000000	142	0.015915	0.015402
5.000000	143	0.009653	0.009200
5.000000	144	0.003353	0.002961
5.000000	145	-0.002960	-0.003289
5.000000	146	-0.009262	-0.009527
5.000000	147	-0.015527	-0.015727
5.000000	148	-0.021731	-0.021864
5.000000	149	-0.027849	-0.027916
5.000000	150	-0.033857	-0.033857
5.000000	151	-0.039732	-0.039665
5.000000	152	-0.045449	-0.045316
5.000000	153	-0.050988	-0.050788
5.000000	154	-0.056325	-0.056060
5.000000	155	-0.061440	-0.061111
5.000000	156	-0.066312	-0.065920
5.000000	157	-0.070923	-0.070470
5.000000	158	-0.075254	-0.074741
5.000000	159	-0.079287	-0.078717
5.000000	160	-0.083008	-0.082383
5.000000	161	-0.086401	-0.085723
5.000000	162	-0.089454	-0.088725
5.000000	163	-0.092153	-0.091377
5.000000	164	-0.094489	-0.093669
5.000000	165	-0.096451	-0.095590
5.000000	166	-0.098033	-0.097135
5.000000	167	-0.099228	-0.098296
5.000000	168	-0.100032	-0.099069
5.000000	169	-0.100441	-0.099451
5.000000	170	-0.100453	-0.099441
5.000000	171	-0.100069	-0.099038
5.000000	172	-0.099290	-0.098245
5.000000	173	-0.098119	-0.097063
5.000000	174	-0.096561	-0.095499
5.000000	175	-0.094622	-0.093558
5.000000	176	-0.092309	-0.091247
5.000000	177	-0.089632	-0.088576
5.000000	178	-0.086601	-0.085556
5.000000	179	-0.083229	-0.082198
5.000000	180	-0.079528	-0.078516
5.000000	181	-0.075513	-0.074524
5.000000	182	-0.071200	-0.070238
5.000000	183	-0.066607	-0.065674
5.000000	184	-0.061750	-0.060852
5.000000	185	-0.056650	-0.055789
5.000000	186	-0.051326	-0.050506
5.000000	187	-0.045799	-0.045024
5.000000	188	-0.040092	-0.039364
5.000000	189	-0.034227	-0.033548
5.000000	190	-0.028226	-0.027601
5.000000	191	-0.022114	-0.021544
5.000000	192	-0.015915	-0.015402
5.000000	193	-0.009653	-0.009200
5.000000	194	-0.003353	-0.002961
5.000000	195	0.002960	0.003289
5.000000	196	0.009262	0.009527
5.000000	197	0.015527	0.015727
5.000000	198	0.021731	0.021864
5.000000	199	0.027849	0.027916
7.500000	0	0.048152	0.048152
7.500000	1	0.053607	0.053512
7.500000	2	0.058851	0.058661
7.500000	3	0.063862	0.063578
7.500000	4	0.068621	0.068245
7.500000	5	0.073109	0.072642
7.500000	6	0.077309	0.076752
7.500000	7	0.081204	0.080560
7.500000	8	0.084778	0.084049
7.500000	9	0.088018	0.087207
7.500000	10	0.090910	0.090021
7.500000	11	0.093444	0.092479
7.500000	12	0.095609	0.094573
7.500000	13	0.097396	0.096293
7.500000	14	0.098799	0.097633
7.500000	15	0.099812	0.098588
7.500000	16	0.100432	0.099154
7.500000	17	0.100654	0.099328
7.500000	18	0.100480	0.099111
7.500000	19	0.099909	0.098502
7.500000	20	0.098944	0.097505
7.500000	21	0.097588	0.096123
7.500000	22	0.095847	0.094361
7.500000	23	0.093728	0.092227
7.500000	24	0.091239	0.089729
7.500000	25	0.088390	0.086877
7.500000	26	0.085192	0.083682
7.500000	27	0.081658	0.080157
7.500000	28	0.077802	0.076315
7.500000	29	0.073638	0.072173
7.500000	30	0.069184	0.067745
7.500000	31	0.064457	0.063050
7.500000	32	0.059476	0.058107
7.500000	33	0.054260	0.052933
7.500000	34	0.048829	0.047552
7.500000	35	0.043206	0.041982
7.500000	36	0.037413	0.036247
7.500000	37	0.031471	0.030368
7.500000	38	0.025406	0.024370
7.500000	39	0.019240	0.018276
7.500000	40	0.012999	0.012109
7.500000	41	0.006706	0.005895
7.500000	42	0.000386	-0.000343
7.500000	43	-0.005935	-0.006579
7.500000	44	-0.012232	-0.012789
7.500000	45	-0.018481	-0.018949
7.500000	46	-0.024658	-0.025034
7.500000	47	-0.030737	-0.031020
7.500000	48	-0.036694	-0.036884
7.500000	49	-0.042507	-0.042602
7.500000	50	-0.048152	-0.048152
7.500000	51	-0.053607	-0.053512
7.500000	52	-0.058851	-0.058661
7.500000	53	-0.063862	-0.063578
7.500000	54	-0.068621	-0.068245
7.500000	55	-0.073109	-0.072642
7.500000	56	-0.077309	-0.076752
7.500000	57	-0.081204	-0.080560
7.500000	58	-0.084778	-0.084049
7.500000	59	-0.088018	-0.087207
7.500000	60	-0.090910	-0.090021
7.500000	61	-0.093444	-0.092479
7.500000	62	-0.095609	-0.094573
7.500000	63	-0.097396	-0.096293
7.500000	64	-0.098799	-0.097633
7.500000	65	-0.099812	-0.098588
7.500000	66	-0.100432	-0.099154
7.500000	67	-0.100654	-0.099328
7.500000	68	-0.100480	-0.099111
7.500000	69	-0.099909	-0.098502
7.500000	70	-0.098944	-0.097505
7.500000	71	-0.097588	-0.096123
7.500000	72	-0.095847	-0.094361
7.500000	73	-0.093728	-0.092227
7.500000	74	-0.091239	-0.089729
7.500000	75	-0.088390	-0.086877
7.500000	76	-0.085192	-0.083682
7.500000	77	-0.081658	-0.080157
7.500000	78	-0.077802	-0.076315
7.500000	79	-0.073638	-0.072173
7.500000	80	-0.069184	-0.067745
7.500000	81	-0.064457	-0.063050
7.500000	82	-0.059476	-0.058107
7.500000	83	-0.054260	-0.052933
7.500000	84	-0.048829	-0.047552
