Paso;z;Ex;Hy
2;60.6061;-0.0598158;-0.0598158
2;62.6263;-0.069482;-0.069482
2;64.6465;-0.0780301;-0.0780301
2;66.6667;-0.0853227;-0.0853227
2;68.6869;-0.0912425;-0.0912425
2;70.7071;-0.0956941;-0.0956941
2;72.7273;-0.098606;-0.098606
2;74.7475;-0.0999312;-0.0999312
2;76.7677;-0.0996485;-0.0996485
2;78.7879;-0.0977625;-0.0977625
2;80.8081;-0.0943034;-0.0943034
2;82.8283;-0.0893269;-0.0893269
2;84.8485;-0.0829132;-0.0829132
2;86.8687;-0.0751653;-0.0751653
2;88.8889;-0.066208;-0.066208
2;90.9091;-0.0561853;-0.0561853
2;92.9293;-0.0452587;-0.0452587
2;94.9495;-0.0336038;-0.0336038
2;96.9697;-0.0214082;-0.0214082
2;98.9899;-0.00886813;-0.00886813
2;101.01;0.00381462;0.00381462
2;103.03;0.016436;0.016436
2;105.051;0.0287929;0.0287929
2;107.071;0.0406865;0.0406865
2;109.091;0.0519255;0.0519255
2;111.111;0.062329;0.062329
2;113.131;0.0717295;0.0717295
2;115.152;0.0799759;0.0799759
2;117.172;0.0869355;0.0869355
2;119.192;0.0924962;0.0924962
2;121.212;0.0965687;0.0965687
2;123.232;0.0990873;0.0990873
2;125.253;0.100012;0.100012
2;127.273;0.0993266;0.0993266
2;129.293;0.0970434;0.0970434
2;131.313;0.0931988;0.0931988
2;133.333;0.0878546;0.0878546
2;135.354;0.0810967;0.0810967
2;137.374;0.073034;0.073034
2;139.394;0.0637962;0.0637962
2;141.414;0.0535318;0.0535318
2;143.434;0.0424061;0.0424061
2;145.455;0.030598;0.030598
2;147.475;0.0182977;0.0182977
2;149.495;0.00570286;0.00570286
2;151.515;-0.0069837;-0.0069837
2;153.535;-0.0195579;-0.0195579
2;155.556;-0.0318174;-0.0318174
2;157.576;-0.0435649;-0.0435649
2;159.596;-0.0546115;-0.0546115
2;161.616;-0.0647793;-0.0647793
2;163.636;-0.0739048;-0.0739048
2;165.657;-0.0818412;-0.0818412
2;167.677;-0.0884607;-0.0884607
2;169.697;-0.0936569;-0.0936569
2;171.717;-0.097346;-0.097346
2;173.737;-0.0994689;-0.0994689
2;175.758;-0.0999912;-0.0999912
2;177.778;-0.0989046;-0.0989046
2;179.798;-0.0962267;-0.0962267
2;181.818;-0.0920004;-0.0920004
2;183.838;-0.0862938;-0.0862938
2;185.859;-0.0791987;-0.0791987
2;187.879;-0.0708292;-0.0708292
2;189.899;-0.0613201;-0.0613201
2;191.919;-0.0508243;-0.0508243
2;193.939;-0.0395108;-0.0395108
2;195.96;-0.0275615;-0.0275615
2;197.98;-0.015232;-0.015232
2;200;0;0
3;0;0;0
3;2.0202;0.00907603;0.00907603
3;4.0404;0.02143;0.02143
3;6.06061;0.0336228;0.0336228
3;8.08081;0.0452778;0.0452778
3;10.101;0.0562042;0.0562042
3;12.1212;0.0662263;0.0662263
3;14.1414;0.0751828;0.0751828
3;16.1616;0.0829295;0.0829295
3;18.1818;0.0893419;0.0893419
3;20.202;0.0943167;0.0943167
3;22.2222;0.097774;0.097774
3;24.2424;0.099658;0.099658
3;26.2626;0.0999385;0.0999385
3;28.2828;0.098611;0.098611
3;30.303;0.0956967;0.0956967
3;32.3232;0.0912427;0.0912427
3;34.3434;0.0853205;0.0853205
3;36.3636;0.0780255;0.0780255
3;38.3838;0.069475;0.069475
3;40.404;0.0598067;0.0598067
3;42.4242;0.049176;0.049176
3;44.4444;0.0377541;0.0377541
3;46.4646;0.0257247;0.0257247
3;48.4848;0.0132814;0.0132814
3;50.5051;0.000624391;0.000624391
3;52.5253;-0.0120427;-0.0120427
3;54.5455;-0.024516;-0.024516
3;56.5657;-0.0365948;-0.0365948
3;58.5859;-0.0480848;-0.0480848
3;60.6061;-0.0588011;-0.0588011
3;62.6263;-0.0685713;-0.0685713
3;64.6465;-0.0772381;-0.0772381
3;66.6667;-0.0846621;-0.0846621
3;68.6869;-0.0907239;-0.0907239
3;70.7071;-0.0953259;-0.0953259
3;72.7273;-0.0983941;-0.0983941
3;74.7475;-0.0998791;-0.0998791
3;76.7677;-0.099757;-0.099757
3;78.7879;-0.0980297;-0.0980297
3;80.8081;-0.0947252;-0.0947252
3;82.8283;-0.0898964;-0.0898964
3;84.8485;-0.0836212;-0.0836212
3;86.8687;-0.0760005;-0.0760005
3;88.8889;-0.067157;-0.067157
3;90.9091;-0.0572328;-0.0572328
3;92.9293;-0.0463878;-0.0463878
3;94.9495;-0.0347963;-0.0347963
3;96.9697;-0.022645;-0.022645
3;98.9899;-0.0101293;-0.0101293
3;101.01;0.00254942;0.00254942
3;103.03;0.0151871;0.0151871
3;105.051;0.0275804;0.0275804
3;107.071;0.0395299;0.0395299
3;109.091;0.0508434;0.0508434
3;111.111;0.0613387;0.0613387
3;113.131;0.0708472;0.0708472
3;115.152;0.0792156;0.0792156
3;117.172;0.0863095;0.0863095
3;119.192;0.0920146;0.0920146
3;121.212;0.0962391;0.0962391
3;123.232;0.0989151;0.0989151
3;125.253;0.0999996;0.0999996
3;127.273;0.099475;0.099475
3;129.293;0.0973498;0.0973498
3;131.313;0.0936583;0.0936583
3;133.333;0.0884597;0.0884597
3;135.354;0.0818378;0.0818378
3;137.374;0.0738991;0.0738991
3;139.394;0.0647713;0.0647713
3;141.414;0.0546013;0.0546013
3;143.434;0.0435528;0.0435528
3;145.455;0.0318035;0.0318035
3;147.475;0.0195424;0.0195424
3;149.495;0.00696693;0.00696693
3;151.515;-0.00572066;-0.00572066
3;153.535;-0.0183162;-0.0183162
3;155.556;-0.030617;-0.030617
3;157.576;-0.0424252;-0.0424252
3;159.596;-0.0535508;-0.0535508
3;161.616;-0.0638146;-0.0638146
3;163.636;-0.0730517;-0.0730517
3;165.657;-0.0811134;-0.0811134
3;167.677;-0.0878699;-0.0878699
3;169.697;-0.0932126;-0.0932126
3;171.717;-0.0970554;-0.0970554
3;173.737;-0.0993366;-0.0993366
3;175.758;-0.100019;-0.100019
3;177.778;-0.0990929;-0.0990929
3;179.798;-0.0965719;-0.0965719
3;181.818;-0.092497;-0.092497
3;183.838;-0.0869339;-0.0869339
3;185.859;-0.0799719;-0.0799719
3;187.879;-0.0717232;-0.0717232
3;189.899;-0.0623204;-0.0623204
3;191.919;-0.0519148;-0.0519148
3;193.939;-0.0406739;-0.0406739
3;195.96;-0.0287754;-0.0287754
3;197.98;-0.0166101;-0.0166101
3;200;0;0
4;0;0;0
4;2.0202;0.00800453;0.00800453
4;4.0404;0.0202027;0.0202027
4;6.06061;0.0324304;0.0324304
4;8.08081;0.0441487;0.0441487
4;10.101;0.0551568;0.0551568
4;12.1212;0.0652774;0.0652774
4;14.1414;0.0743476;0.0743476
4;16.1616;0.0822216;0.0822216
4;18.1818;0.0887725;0.0887725
4;20.202;0.0938951;0.0938951
4;22.2222;0.0975069;0.0975069
4;24.2424;0.0995498;0.0995498
4;26.2626;0.0999909;0.0999909
4;28.2828;0.098823;0.098823
4;30.303;0.0960651;0.0960651
4;32.3232;0.0917615;0.0917615
4;34.3434;0.0859814;0.0859814
4;36.3636;0.0788178;0.0788178
4;38.3838;0.070386;0.070386
4;40.404;0.0608216;0.0608216
4;42.4242;0.0502787;0.0502787
4;44.4444;0.0389267;0.0389267
4;46.4646;0.0269484;0.0269484
4;48.4848;0.0145364;0.0145364
4;50.5051;0.0018906;0.0018906
4;52.5253;-0.0107857;-0.0107857
4;54.5455;-0.0232884;-0.0232884
4;56.5657;-0.0354164;-0.0354164
4;58.5859;-0.0469745;-0.0469745
4;60.6061;-0.0577768;-0.0577768
4;62.6263;-0.0676494;-0.0676494
4;64.6465;-0.0764335;-0.0764335
4;66.6667;-0.0839878;-0.0839878
4;68.6869;-0.0901907;-0.0901907
4;70.7071;-0.0949424;-0.0949424
4;72.7273;-0.0981664;-0.0981664
4;74.7475;-0.0998109;-0.0998109
4;76.7677;-0.0998494;-0.0998494
4;78.7879;-0.0982813;-0.0982813
4;80.8081;-0.0951318;-0.0951318
4;82.8283;-0.0904516;-0.0904516
4;84.8485;-0.084316;-0.084316
4;86.8687;-0.0768238;-0.0768238
4;88.8889;-0.0680954;-0.0680954
4;90.9091;-0.0582713;-0.0582713
4;92.9293;-0.0475096;-0.0475096
4;94.9495;-0.0359834;-0.0359834
4;96.9697;-0.0238783;-0.0238783
4;98.9899;-0.011389;-0.011389
4;101.01;0.0012836;0.0012836
4;103.03;0.0139355;0.0139355
4;105.051;0.0263632;0.0263632
4;107.071;0.0383668;0.0383668
4;109.091;0.0497529;0.0497529
4;111.111;0.0603386;0.0603386
4;113.131;0.0699533;0.0699533
4;115.152;0.0784425;0.0784425
4;117.172;0.0856695;0.0856695
4;119.192;0.0915181;0.0915181
4;121.212;0.0958941;0.0958941
4;123.232;0.0987271;0.0987271
4;125.253;0.0999716;0.0999716
4;127.273;0.0996075;0.0996075
4;129.293;0.0976407;0.0976407
4;131.313;0.0941028;0.0941028
4;133.333;0.0890507;0.0890507
4;135.354;0.0825658;0.0825658
4;137.374;0.0747524;0.0747524
4;139.394;0.0657362;0.0657362
4;141.414;0.0556622;0.0556622
4;143.434;0.0446927;0.0446927
4;145.455;0.033004;0.033004
4;147.475;0.0207842;0.0207842
4;149.495;0.00823008;0.00823008
4;151.515;-0.0044565;-0.0044565
4;153.535;-0.0170714;-0.0170714
4;155.556;-0.0294116;-0.0294116
4;157.576;-0.0412785;-0.0412785
4;159.596;-0.0524813;-0.0524813
4;161.616;-0.0628396;-0.0628396
4;163.636;-0.0721868;-0.0721868
4;165.657;-0.0803725;-0.0803725
4;167.677;-0.087265;-0.087265
4;169.697;-0.0927533;-0.0927533
4;171.717;-0.0967492;-0.0967492
4;173.737;-0.0991884;-0.0991884
4;175.758;-0.100032;-0.100032
4;177.778;-0.0992652;-0.0992652
4;179.798;-0.0969017;-0.0969017
4;181.818;-0.0929789;-0.0929789
4;183.838;-0.0875601;-0.0875601
4;185.859;-0.0807324;-0.0807324
4;187.879;-0.0726057;-0.0726057
4;189.899;-0.0633108;-0.0633108
4;191.919;-0.0529971;-0.0529971
4;193.939;-0.0418309;-0.0418309
4;195.96;-0.0299786;-0.0299786
4;197.98;-0.0180488;-0.0180488
4;200;0;0
5;0;0;0
5;2.0202;0.00699439;0.00699439
5;4.0404;0.0189814;0.0189814
5;6.06061;0.0312331;0.0312331
5;8.08081;0.0430124;0.0430124
5;10.101;0.0541004;0.0541004
5;12.1212;0.0643178;0.0643178
5;14.1414;0.0735004;0.0735004
5;16.1616;0.0815003;0.0815003
5;18.1818;0.0881889;0.0881889
5;20.202;0.0934584;0.0934584
5;22.2222;0.0972242;0.0972242
5;24.2424;0.0994256;0.0994256
5;26.2626;0.100027;0.100027
5;28.2828;0.0990193;0.0990193
5;30.303;0.0964182;0.0964182
5;32.3232;0.0922657;0.0922657
5;34.3434;0.0866286;0.0866286
5;36.3636;0.0795975;0.0795975
5;38.3838;0.0712858;0.0712858
5;40.404;0.061827;0.061827
5;42.4242;0.0513734;0.0513734
5;44.4444;0.0400932;0.0400932
5;46.4646;0.0281679;0.0281679
5;48.4848;0.0157893;0.0157893
5;50.5051;0.0031567;0.0031567
5;52.5253;-0.00952671;-0.00952671
5;54.5455;-0.0220568;-0.0220568
5;56.5657;-0.034232;-0.034232
5;58.5859;-0.0458565;-0.0458565
5;60.6061;-0.056743;-0.056743
5;62.6263;-0.0667166;-0.0667166
5;64.6465;-0.0756166;-0.0756166
5;66.6667;-0.0833;-0.0833
5;68.6869;-0.089643;-0.089643
5;70.7071;-0.0945436;-0.0945436
5;72.7273;-0.097923;-0.097923
5;74.7475;-0.0997268;-0.0997268
5;76.7677;-0.0999259;-0.0999259
5;78.7879;-0.0985172;-0.0985172
