x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
7.35736,1.11463e-05,0.200327,0.488862,0.546693,0.567461,0.578141,0.584645,0.589022
7.41742,1.11332e-05,0.20026,0.488715,0.546532,0.567294,0.577971,0.584474,0.58885
7.47748,1.11176e-05,0.200215,0.488645,0.546458,0.567219,0.577895,0.584397,0.588773
7.53754,1.10994e-05,0.200189,0.488639,0.54646,0.567223,0.577901,0.584404,0.588781
7.5976,1.10784e-05,0.200173,0.488679,0.546515,0.567285,0.577965,0.58447,0.588848
7.65766,1.10546e-05,0.200156,0.488735,0.546591,0.567368,0.578053,0.58456,0.588939
7.71772,1.10277e-05,0.200123,0.488769,0.546645,0.56743,0.578119,0.584629,0.58901
7.77778,1.09976e-05,0.20006,0.48874,0.546631,0.567421,0.578113,0.584625,0.589007
7.83784,1.09643e-05,0.199949,0.488603,0.546496,0.567288,0.577981,0.584493,0.588876
7.8979,1.09277e-05,0.199777,0.488315,0.546192,0.56698,0.577669,0.58418,0.588562
7.95796,1.08877e-05,0.199528,0.487836,0.545675,0.566449,0.577132,0.583639,0.588018
8.01802,1.08446e-05,0.199194,0.487136,0.544909,0.56566,0.576331,0.582831,0.587205
8.07808,1.07984e-05,0.198767,0.486196,0.543873,0.564589,0.575243,0.581732,0.586098
8.13814,1.07494e-05,0.198248,0.485012,0.54256,0.56323,0.57386,0.580335,0.584692
8.1982,1.06979e-05,0.197641,0.483592,0.540981,0.561594,0.572195,0.578652,0.582997
8.25826,1.06444e-05,0.196957,0.481964,0.539166,0.559712,0.570279,0.576715,0.581046
8.31832,1.05893e-05,0.196212,0.480168,0.53716,0.557631,0.568159,0.574571,0.578886
8.37838,1.0533e-05,0.195425,0.478257,0.535024,0.555414,0.5659,0.572287,0.576585
8.43844,1.04762e-05,0.19462,0.476294,0.532828,0.553134,0.563577,0.569938,0.574219
8.4985,1.04194e-05,0.193823,0.474348,0.53065,0.550873,0.561273,0.567608,0.571871
8.55856,1.0363e-05,0.193059,0.472486,0.528567,0.548711,0.559071,0.56538,0.569627
8.61862,1.03076e-05,0.19235,0.470772,0.526653,0.546724,0.557046,0.563333,0.567564
8.67868,1.02536e-05,0.191716,0.469262,0.524967,0.544976,0.555266,0.561533,0.565751
8.73874,1.02013e-05,0.191173,0.467994,0.523557,0.543515,0.553778,0.56003,0.564237
8.7988,1.01512e-05,0.190727,0.466992,0.522449,0.542368,0.552612,0.558852,0.563051
8.85886,1.01033e-05,0.19038,0.466261,0.521646,0.541541,0.551773,0.558004,0.562198
8.91892,1.00578e-05,0.190127,0.465784,0.521133,0.541015,0.55124,0.557468,0.561659
8.97898,1.00149e-05,0.189955,0.465527,0.520869,0.540749,0.550973,0.5572,0.561391
9.03904,9.97452e-06,0.189846,0.46544,0.520797,0.540683,0.55091,0.55714,0.561332
9.0991,9.93672e-06,0.189777,0.465459,0.520845,0.540742,0.550976,0.557209,0.561404
9.15916,9.9015e-06,0.189725,0.465517,0.520936,0.540846,0.551086,0.557323,0.561521
9.21922,9.86885e-06,0.189665,0.465541,0.520989,0.540909,0.551155,0.557396,0.561596
9.27928,9.83882e-06,0.189574,0.465469,0.52093,0.540856,0.551105,0.557347,0.561548
9.33934,9.81147e-06,0.189434,0.465247,0.520699,0.540622,0.550869,0.557111,0.561312
9.3994,9.78697e-06,0.189232,0.464837,0.520253,0.540163,0.550404,0.556642,0.56084
9.45946,9.7655e-06,0.188965,0.464224,0.519572,0.539459,0.549687,0.555918,0.560111
9.51952,9.74735e-06,0.188635,0.463412,0.518664,0.538516,0.548726,0.554946,0.559132
9.57958,9.73285e-06,0.188253,0.462432,0.517561,0.537369,0.547556,0.553762,0.557938
9.63964,9.72239e-06,0.187838,0.461335,0.516321,0.536077,0.546239,0.552428,0.556593
9.6997,9.71638e-06,0.187417,0.460189,0.515023,0.534724,0.544856,0.551028,0.555182
9.75976,9.71525e-06,0.187019,0.459079,0.51376,0.533406,0.54351,0.549665,0.553807
9.81982,9.71942e-06,0.186677,0.458092,0.512635,0.53223,0.542308,0.548447,0.552578
9.87988,9.72926e-06,0.186423,0.457321,0.51175,0.531304,0.541361,0.547486,0.551609
9.93994,9.74508e-06,0.186287,0.456847,0.511199,0.530725,0.540767,0.546884,0.551
10,9.76709e-06,0.186292,0.456739,0.511061,0.530575,0.540611,0.546724,0.550838
10.0601,9.79542e-06,0.186455,0.457045,0.51139,0.530912,0.540952,0.547068,0.551183
10.1201,9.83007e-06,0.186786,0.45779,0.512214,0.531764,0.541819,0.547943,0.552065
10.1802,9.87091e-06,0.18728,0.45897,0.51353,0.533129,0.543209,0.549349,0.55348
10.2402,9.91774e-06,0.187928,0.460554,0.515303,0.53497,0.545085,0.551246,0.555392
10.3003,9.97021e-06,0.188708,0.462487,0.51747,0.537221,0.547379,0.553566,0.55773
10.3604,1.00279e-05,0.189592,0.46469,0.519941,0.539789,0.549996,0.556214,0.560398
10.4204,1.00904e-05,0.190546,0.467069,0.52261,0.542563,0.552824,0.559074,0.563281
10.4805,1.01571e-05,0.191532,0.469521,0.525361,0.545421,0.555738,0.562022,0.56625
10.5405,1.02275e-05,0.192513,0.471944,0.528076,0.548241,0.558612,0.564929,0.56918
