x1,x2,(E1=10.0865 E2=10.7422),(E1=10.7422 E2=10.0865)
-19.596,-7.47375,5.72446e-05,5.72446e-05
-19.596,-7.06971,3.19344e-05,3.19344e-05
-19.596,-6.66567,1.29741e-05,1.29741e-05
-19.596,-6.26163,2.99261e-06,2.99261e-06
-19.596,-5.85759,7.56219e-08,7.56219e-08
-19.596,-5.45355,4.16188e-07,4.16188e-07
-19.596,-5.04951,1.11656e-06,1.11656e-06
-19.596,-4.64546,1.40976e-10,1.40976e-10
-19.596,-4.24142,9.23454e-07,9.23454e-07
-19.596,-3.83738,3.31127e-07,3.31127e-07
-19.596,-3.43334,2.8566e-07,2.8566e-07
-19.596,-3.0293,7.54084e-07,7.54084e-07
-19.596,-2.62526,2.93874e-09,2.93874e-09
-19.596,-2.22122,6.02659e-07,6.02659e-07
-19.596,-1.81718,3.12739e-07,3.12739e-07
-19.596,-1.41314,1.31734e-07,1.31734e-07
-19.596,-1.0091,6.07443e-07,6.07443e-07
-19.596,-0.605061,3.36433e-08,3.36433e-08
-19.596,-0.20102,4.02669e-07,4.02669e-07
-19.596,0.20302,3.9237e-07,3.9237e-07
-19.596,0.607061,3.7868e-08,3.7868e-08
-19.596,1.0111,6.00818e-07,6.00818e-07
-19.596,1.41514,1.22336e-07,1.22336e-07
-19.596,1.81918,3.13395e-07,3.13395e-07
-19.596,2.22322,5.81485e-07,5.81485e-07
-19.596,2.62726,3.65194e-09,3.65194e-09
-19.596,3.0313,7.33021e-07,7.33021e-07
-19.596,3.43534,2.73001e-07,2.73001e-07
-19.596,3.83938,3.22015e-07,3.22015e-07
-19.596,4.24342,8.91822e-07,8.91822e-07
-19.596,4.64746,1.66677e-10,1.66677e-10
-19.596,5.05151,1.11499e-06,1.11499e-06
-19.596,5.45555,4.14869e-07,4.14869e-07
-19.596,5.85959,8.4183e-08,8.4183e-08
-19.596,6.26363,3.02795e-06,3.02795e-06
-19.596,6.66767,1.30505e-05,1.30505e-05
-19.596,7.07171,3.20489e-05,3.20489e-05
-19.596,7.47575,5.73698e-05,5.73698e-05
-19.596,7.87979,8.16965e-05,8.16965e-05
-19.596,8.28383,9.6227e-05,9.6227e-05
