# REMEMBER THAT  E[i] = E(z[i])  BUT  H[i] = H(z[i] + dz/2)
# z E H
129.50000 0.09079 0.09034
130.00000 0.08944 0.08894
130.50000 0.08799 0.08746
131.00000 0.08647 0.08588
131.50000 0.08485 0.08422
132.00000 0.08316 0.08248
132.50000 0.08138 0.08066
133.00000 0.07952 0.07876
133.50000 0.07758 0.07678
134.00000 0.07556 0.07472
134.50000 0.07348 0.07259
135.00000 0.07131 0.07039
135.50000 0.06908 0.06812
136.00000 0.06678 0.06578
136.50000 0.06442 0.06338
137.00000 0.06199 0.06091
137.50000 0.05949 0.05839
138.00000 0.05695 0.05580
138.50000 0.05434 0.05317
139.00000 0.05168 0.05047
139.50000 0.04897 0.04773
140.00000 0.04621 0.04495
140.50000 0.04341 0.04211
141.00000 0.04056 0.03924
141.50000 0.03767 0.03633
142.00000 0.03475 0.03338
142.50000 0.03179 0.03040
143.00000 0.02880 0.02739
143.50000 0.02578 0.02435
144.00000 0.02274 0.02129
144.50000 0.01967 0.01820
145.00000 0.01658 0.01510
145.50000 0.01348 0.01199
146.00000 0.01037 0.00886
146.50000 0.00724 0.00572
147.00000 0.00411 0.00258
147.50000 0.00097 -0.00057
148.00000 -0.00217 -0.00371
148.50000 -0.00530 -0.00685
149.00000 -0.00843 -0.00998
149.50000 -0.01155 -0.01311
150.00000 -0.01467 -0.01622
150.50000 -0.01776 -0.01931
151.00000 -0.02084 -0.02239
151.50000 -0.02390 -0.02544
152.00000 -0.02693 -0.02847
152.50000 -0.02994 -0.03147
153.00000 -0.03292 -0.03444
153.50000 -0.03587 -0.03738
154.00000 -0.03878 -0.04028
154.50000 -0.04165 -0.04314
155.00000 -0.04448 -0.04595
155.50000 -0.04727 -0.04872
156.00000 -0.05001 -0.05145
156.50000 -0.05270 -0.05412
157.00000 -0.05534 -0.05674
157.50000 -0.05792 -0.05930
158.00000 -0.06045 -0.06181
158.50000 -0.06292 -0.06425
159.00000 -0.06532 -0.06663
159.50000 -0.06767 -0.06894
160.00000 -0.06994 -0.07119
160.50000 -0.07215 -0.07337
161.00000 -0.07428 -0.07547
161.50000 -0.07634 -0.07750
162.00000 -0.07833 -0.07945
162.50000 -0.08023 -0.08132
163.00000 -0.08206 -0.08312
163.50000 -0.08381 -0.08483
164.00000 -0.08548 -0.08646
164.50000 -0.08706 -0.08800
165.00000 -0.08855 -0.08946
165.50000 -0.08996 -0.09083
166.00000 -0.09128 -0.09210
166.50000 -0.09251 -0.09329
167.00000 -0.09365 -0.09439
167.50000 -0.09469 -0.09539
168.00000 -0.09564 -0.09629
168.50000 -0.09650 -0.09711
169.00000 -0.09726 -0.09782
169.50000 -0.09793 -0.09845
170.00000 -0.09850 -0.09897
170.50000 -0.09897 -0.09939
171.00000 -0.09935 -0.09972
171.50000 -0.09962 -0.09995
172.00000 -0.09980 -0.10008
172.50000 -0.09988 -0.10011
173.00000 -0.09986 -0.10005
173.50000 -0.09975 -0.09988
174.00000 -0.09953 -0.09961
174.50000 -0.09922 -0.09925
175.00000 -0.09880 -0.09879
175.50000 -0.09829 -0.09823
176.00000 -0.09769 -0.09758
176.50000 -0.09699 -0.09683
177.00000 -0.09619 -0.09598
177.50000 -0.09529 -0.09504
178.00000 -0.09431 -0.09400
178.50000 -0.09322 -0.09287
179.00000 -0.09205 -0.09165
179.50000 -0.09079 -0.09034
180.00000 -0.08944 -0.08894
180.50000 -0.08799 -0.08746
181.00000 -0.08647 -0.08588
181.50000 -0.08485 -0.08422
182.00000 -0.08316 -0.08248
182.50000 -0.08138 -0.08066
183.00000 -0.07952 -0.07876
183.50000 -0.07758 -0.07678
184.00000 -0.07556 -0.07472
184.50000 -0.07348 -0.07259
185.00000 -0.07131 -0.07039
185.50000 -0.06908 -0.06812
186.00000 -0.06678 -0.06578
186.50000 -0.06442 -0.06338
187.00000 -0.06199 -0.06091
187.50000 -0.05949 -0.05839
188.00000 -0.05695 -0.05580
188.50000 -0.05434 -0.05317
189.00000 -0.05168 -0.05047
189.50000 -0.04897 -0.04773
190.00000 -0.04621 -0.04495
190.50000 -0.04341 -0.04211
191.00000 -0.04056 -0.03924
191.50000 -0.03767 -0.03633
192.00000 -0.03475 -0.03338
192.50000 -0.03179 -0.03040
193.00000 -0.02880 -0.02739
193.50000 -0.02578 -0.02435
194.00000 -0.02274 -0.02129
194.50000 -0.01967 -0.01820
195.00000 -0.01658 -0.01510
195.50000 -0.01348 -0.01199
196.00000 -0.01037 -0.00886
196.50000 -0.00724 -0.00572
197.00000 -0.00411 -0.00258
197.50000 -0.00097 0.00057
198.00000 0.00217 0.00371
198.50000 0.00530 0.00685
199.00000 0.00843 0.00998
199.50000 0.01155 0.01311
200.00000 0.01467
