i,z,Ex,Hy
129,129,-0.248027,0.0386142
130,130,-0.257471,0.00534627
131,131,-0.262855,-0.028006
132,132,-0.264093,-0.0609165
133,133,-0.261166,-0.0928663
134,134,-0.254121,-0.123352
135,135,-0.243068,-0.151892
136,136,-0.228182,-0.178036
137,137,-0.209697,-0.201373
138,138,-0.187905,-0.221534
139,139,-0.163149,-0.238201
140,140,-0.135821,-0.251112
141,141,-0.106351,-0.260063
142,142,-0.0752035,-0.264912
143,143,-0.0428701,-0.265583
144,144,-0.00986044,-0.262066
145,145,0.0233045,-0.254416
146,146,0.0561021,-0.242754
147,147,0.0880148,-0.227263
148,148,0.11854,-0.208189
149,149,0.147195,-0.185831
150,150,0.173529,-0.160542
151,151,0.197126,-0.132722
152,152,0.217615,-0.102808
153,153,0.234671,-0.0712731
154,154,0.248027,-0.0386142
155,155,0.257471,-0.00534627
156,156,0.262855,0.0280059
157,157,0.264093,0.0609165
158,158,0.261166,0.0928663
159,159,0.254121,0.123352
160,160,0.243068,0.151892
161,161,0.228182,0.178036
162,162,0.209697,0.201373
163,163,0.187905,0.221534
164,164,0.163149,0.238201
165,165,0.135821,0.251112
166,166,0.106351,0.260063
167,167,0.0752035,0.264912
168,168,0.0428701,0.265583
169,169,0.00986045,0.262066
170,170,-0.0233045,0.254416
171,171,-0.0561021,0.242754
172,172,-0.0880148,0.227263
173,173,-0.11854,0.208189
174,174,-0.147195,0.185831
175,175,-0.173529,0.160542
176,176,-0.197126,0.132722
177,177,-0.217615,0.102808
178,178,-0.234671,0.0712731
179,179,-0.248027,0.0386142
180,180,-0.257471,0.00534585
181,181,-0.262853,-0.028
182,182,-0.264111,-0.0609919
183,183,-0.260951,-0.0920091
184,184,-0.256453,-0.132044
185,185,-0.220588,-0.0736724
186,186,-0.419823,-0.798795
187,187,1.22613,4.11404
188,188,-9.57434,-26.3036
189,189,52.9526,135.674
190,190,-258.019,-605.206
191,191,1063.54,2275.91
192,192,-3685.51,-7154.35
193,193,10590.9,18525.7
194,194,-24860.6,-38861.9
195,195,46743.4,64519.3
196,196,-68371.3,-81537.5
197,197,73508.3,71575.1
198,198,-48949.8,-28852.2
199,199,0,0
