t_index,z,Ex,Hy
10,161,-0.0240907,-0.0479469
10,162,-0.0355718,-0.0593131
10,163,-0.0464919,-0.069744
10,164,-0.0566788,-0.0790749
10,165,-0.0659718,-0.0871588
10,166,-0.0742244,-0.0938682
10,167,-0.0813065,-0.0990972
10,168,-0.0871064,-0.102763
10,169,-0.0915324,-0.104809
10,170,-0.0945151,-0.105201
10,171,-0.096007,-0.103935
10,172,-0.095985,-0.101029
10,173,-0.0944491,-0.0965307
10,174,-0.0914238,-0.0905093
10,175,-0.0869567,-0.0830608
10,176,-0.0811182,-0.0743023
10,177,-0.0740004,-0.0643719
10,178,-0.0657156,-0.0534265
10,179,-0.0563944,-0.0416384
10,180,-0.0461839,-0.0291937
10,181,-0.0352449,-0.0162886
10,182,-0.0237502,-0.00312649
10,183,-0.0118809,0.0100847
10,184,0.000175727,0.0231371
10,185,0.0122296,0.0358244
10,186,0.0240906,0.0479469
10,187,0.0355718,0.0593131
10,188,0.0464919,0.069744
10,189,0.0566788,0.0790749
10,190,0.0659718,0.0871589
10,191,0.0742245,0.0938681
10,192,0.0813065,0.0990973
10,193,0.0871064,0.102763
10,194,0.0915324,0.104809
10,195,0.094515,0.105201
10,196,0.096007,0.103935
10,197,0.095985,0.101029
10,198,0.0944491,0.0965308
10,199,0.0914239,0.0905092
20,0,-140.381,386.194
20,1,117.359,-315.662
20,2,-93.0114,244.697
20,3,69.9744,-182.579
20,4,-51.3769,133.277
20,5,37.229,-98.1149
20,6,-27.876,73.7218
20,7,21.1902,-56.6899
20,8,-16.4901,42.2536
20,9,11.7487,-28.0816
20,10,-6.95983,12.1376
20,11,1.2196,5.01711
20,12,4.59857,-22.6003
20,13,-10.4652,38.2767
20,14,15.1681,-50.1431
20,15,-18.3625,56.1978
20,16,19.267,-55.6005
20,17,-17.9334,48.6391
20,18,14.6017,-36.7215
20,19,-9.94036,22.4323
20,20,4.99292,-8.1409
20,21,-0.399951,-3.54951
20,22,-2.88106,11.8243
20,23,5.05076,-16.0492
20,24,-5.75545,17.6739
20,25,6.0107,-17.3642
20,26,-5.6227,16.9843
20,27,5.63446,-16.3802
20,28,-5.34188,16.1649
20,29,5.38518,-14.9448
20,30,-4.67145,12.7871
20,31,3.8291,-8.57518
20,32,-1.98538,3.20667
20,33,0.111346,3.30752
20,34,2.26313,-9.21174
20,35,-3.96613,13.6945
20,36,5.18194,-14.6784
20,37,-4.74922,11.1367
20,38,2.76297,-1.78698
20,39,1.416,-12.8137
20,40,-7.06709,30.8407
20,41,13.477,-48.4326
20,42,-18.9307,60.7722
20,43,21.7991,-63.4455
20,44,-20.7712,53.4917
20,45,15.1872,-31.0923
20,46,-5.74081,-1.62149
20,47,-6.66676,40.0433
20,48,20.0411,-80.2591
20,49,-33.4761,118.035
20,50,45.3642,-151.55
20,51,-55.7466,178.482
20,52,63.4548,-198.159
20,53,-68.781,208.322
20,54,70.3867,-208.394
20,55,-68.719,197.246
20,56,63.0537,-177.123
20,57,-55.0963,151.062
20,58,45.6771,-125.336
20,59,-37.6872,105.386
20,60,32.3762,-96.5791
20,61,-31.6681,100.169
20,62,34.9102,-114.369
20,63,-41.1895,132.706
20,64,47.4004,-146.878
20,65,-50.7822,148.055
20,66,48.3662,-130.419
20,67,-39.0253,93.0337
20,68,23.344,-40.5928
20,69,-3.85538,-17.4364
20,70,-15.6161,70.6225
20,71,31.7623,-110.194
20,72,-42.1213,133.5
20,73,47.1563,-143.103
20,74,-48.4162,147.314
20,75,49.6571,-154.51
20,76,-53.1576,172.115
20,77,61.2392,-201.41
20,78,-72.8815,239.996
20,79,87.0034,-280.181
20,80,-99.9877,314.437
20,81,109.876,-334.818
20,82,-113.795,337.742
20,83,111.714,-321.873
20,84,-103.269,290.597
20,85,90.636,-248.334
20,86,-75.0674,201.229
20,87,59.0352,-153.396
20,88,-43.2104,107.465
20,89,28.3581,-62.731
20,90,-13.5065,16.8179
20,91,-2.20873,33.7182
20,92,20.0971,-91.2658
20,93,-40.5806,155.466
20,94,62.9856,-222.536
20,95,-85.4415,284.441
20,96,104.525,-331.233
20,97,-116.825,351.917
20,98,118.563,-339.228
20,99,-108.346,290.256
20,100,85.9066,-210.332
20,101,-54.7092,110.072
20,102,18.8252,-5.78303
20,103,15.2988,-87.1882
20,104,-43.3186,155.41
20,105,61.0443,-193.305
20,106,-68.4266,201.01
20,107,66.1425,-186.106
20,108,-58.135,157.854
20,109,47.2047,-126.563
20,110,-37.0158,98.261
20,111,28.3966,-75.6983
20,112,-21.9312,56.6488
20,113,15.8808,-37.4809
20,114,-9.17777,14.2328
20,115,0.468669,13.9296
20,116,9.70117,-44.1369
20,117,-19.7969,69.7351
20,118,26.9741,-82.1643
20,119,-28.2641,74.2666
20,120,21.7703,-42.3542
20,121,-6.97922,-11.0041
20,122,-14.0272,78.7306
20,123,38.3531,-149.529
20,124,-61.5545,213.066
20,125,80.8029,-260.411
20,126,-93.3037,288.096
20,127,99.1427,-295.14
20,128,-98.0563,284.549
20,129,91.8878,-258.691
20,130,-80.8805,221.337
20,131,66.8049,-174.561
20,132,-49.7612,122.234
20,133,31.7154,-67.5212
20,134,-13.3067,15.4147
20,135,-3.22549,30.6967
20,136,17.389,-67.8104
20,137,-28.0658,96.2221
20,138,36.1948,-117.924
20,139,-42.5052,137.443
20,140,49.0392,-159.412
20,141,-57.1032,187.501
20,142,67.7198,-222.198
20,143,-80.3242,259.544
20,144,92.8052,-291.677
20,145,-101.964,308.049
20,146,103.973,-300.11
20,147,-96.7162,263.688
20,148,79.6745,-203.264
20,149,-56.0935,129.591
20,150,30.289,-58.8182
20,151,-8.46899,4.90941
20,152,-5.74814,22.3306
20,153,9.82292,-22.7296
20,154,-5.72743,2.25139
20,155,-3.97089,27.0849
20,156,14.2236,-54.5427
20,157,-22.3299,71.3853
20,158,25.627,-75.5809
20,159,-24.9478,68.5336
20,160,20.9243,-55.2978
20,161,-15.9222,39.1825
20,162,10.2524,-21.3651
20,163,-4.03741,-1.70694
20,164,-4.91567,35.6134
20,165,18.4791,-86.1
20,166,-38.4767,154.772
20,167,64.3823,-236.849
20,168,-93.4439,320.923
20,169,120.787,-391.191
20,170,-140.661,432.991
20,171,148.833,-436.703
20,172,-143.196,402.412
20,173,125.704,-338.114
20,174,-100.074,258.826
20,175,72.3948,-179.693
20,176,-47.1333,114.384
20,177,28.5838,-69.8124
20,178,-17.5072,48.5276
20,179,14.3484,-46.6896
20,180,-16.5499,58.8555
20,181,22.4989,-76.8924
20,182,-28.8505,94.837
20,183,34.4386,-107.554
20,184,-37.4739,114.431
20,185,38.8637,-116.855
20,186,-39.092,119.619
20,187,40.4969,-127.237
20,188,-44.1616,144.037
20,189,51.5881,-171.621
20,190,-62.6192,209.818
20,191,77.0605,-256.564
20,192,-93.8695,309.027
20,193,112.093,-363.925
20,194,-130.545,416.777
20,195,147.469,-462.201
20,196,-160.943,492.965
20,197,168.186,-502.857
20,198,-167.576,487.135
20,199,157.785,-446.664
30,0,-4.42531e+11,1.24775e+12
30,1,3.89881e+11,-1.08086e+12
30,2,-3.309e+11,9.03379e+11
30,3,2.71224e+11,-7.30706e+11
30,4,-2.15536e+11,5.74324e+11
30,5,1.66842e+11,-4.40412e+11
30,6,-1.26251e+11,3.29903e+11
30,7,9.32464e+10,-2.3978e+11
30,8,-6.62876e+10,1.65015e+11
30,9,4.35192e+10,-1.00536e+11
30,10,-2.33822e+10,4.27033e+10
30,11,4.99432e+09,9.95074e+09
30,12,1.17394e+10,-5.6748e+10
30,13,-2.62567e+10,9.54889e+10
30,14,3.76313e+10,-1.23427e+11
30,15,-4.49348e+10,1.38306e+11
30,16,4.75731e+10,-1.39206e+11
30,17,-4.55168e+10,1.26996e+11
30,18,3.9375e+10,-1.043e+11
30,19,-3.02993e+10,7.50083e+10
30,20,1.97498e+10,-4.34832e+10
30,21,-9.19483e+09,1.36973e+10
30,22,-1.70053e+08,1.14542e+10
30,23,7.60314e+09,-3.04808e+10
