# Coeficientes FIR
6.23687e-19
0.00119497
0.00273108
0.00409819
0.00379426
-2.31292e-18
-0.00790467
-0.0177984
-0.0243611
-0.0204342
5.78923e-18
0.0384284
0.0897121
0.142616
0.183151
0.199528
0.186656
0.148172
0.0950776
0.0415838
6.40502e-18
-0.0231559
-0.0283399
-0.021316
-0.0097778
-2.96438e-18
0.00504614
0.00562764
0.00378294
0.00156734
6.97097e-19
-0.000935489

# Frecuencia (Hz)	Magnitud (dB)
74.125	-1.24122
74.25	-1.25354
74.375	-1.26595
74.5	-1.27845
74.625	-1.29103
74.75	-1.30369
74.875	-1.31644
75	-1.32928
75.125	-1.3422
75.25	-1.3552
75.375	-1.3683
75.5	-1.38148
75.625	-1.39475
75.75	-1.4081
75.875	-1.42155
76	-1.43508
76.125	-1.4487
76.25	-1.46241
76.375	-1.4762
76.5	-1.49009
76.625	-1.50407
76.75	-1.51813
76.875	-1.53229
77	-1.54654
77.125	-1.56087
77.25	-1.5753
77.375	-1.58982
77.5	-1.60443
77.625	-1.61914
77.75	-1.63393
77.875	-1.64882
78	-1.6638
78.125	-1.67888
78.25	-1.69405
78.375	-1.70931
78.5	-1.72467
78.625	-1.74012
78.75	-1.75566
78.875	-1.7713
79	-1.78704
79.125	-1.80287
79.25	-1.81879
79.375	-1.83482
79.5	-1.85094
79.625	-1.86715
79.75	-1.88347
79.875	-1.89988
80	-1.91639
80.125	-1.93299
80.25	-1.9497
80.375	-1.9665
80.5	-1.9834
80.625	-2.0004
80.75	-2.0175
80.875	-2.0347
81	-2.052
81.125	-2.0694
81.25	-2.08691
81.375	-2.10451
81.5	-2.12221
81.625	-2.14002
81.75	-2.15792
81.875	-2.17593
82	-2.19405
82.125	-2.21226
82.25	-2.23058
82.375	-2.249
82.5	-2.26752
82.625	-2.28615
82.75	-2.30489
82.875	-2.32372
83	-2.34267
83.125	-2.36172
83.25	-2.38087
83.375	-2.40013
83.5	-2.41949
83.625	-2.43896
83.75	-2.45854
83.875	-2.47823
84	-2.49802
84.125	-2.51792
84.25	-2.53793
84.375	-2.55805
84.5	-2.57827
84.625	-2.59861
84.75	-2.61905
84.875	-2.6396
85	-2.66027
85.125	-2.68104
85.25	-2.70192
85.375	-2.72292
85.5	-2.74402
85.625	-2.76524
85.75	-2.78657
85.875	-2.80801
86	-2.82956
86.125	-2.85122
86.25	-2.873
86.375	-2.89489
86.5	-2.9169
86.625	-2.93902
86.75	-2.96125
86.875	-2.98359
87	-3.00606
87.125	-3.02863
87.25	-3.05133
87.375	-3.07413
87.5	-3.09706
87.625	-3.1201
87.75	-3.14325
87.875	-3.16653
88	-3.18992
88.125	-3.21343
88.25	-3.23705
88.375	-3.2608
88.5	-3.28466
88.625	-3.30864
88.75	-3.33275
88.875	-3.35697
89	-3.38131
89.125	-3.40577
89.25	-3.43035
89.375	-3.45505
89.5	-3.47988
89.625	-3.50482
89.75	-3.52989
89.875	-3.55508
90	-3.58039
90.125	-3.60582
90.25	-3.63138
90.375	-3.65706
90.5	-3.68286
90.625	-3.70879
90.75	-3.73484
90.875	-3.76102
91	-3.78732
91.125	-3.81375
91.25	-3.8403
91.375	-3.86698
91.5	-3.89379
91.625	-3.92072
91.75	-3.94778
91.875	-3.97496
92	-4.00228
92.125	-4.02972
92.25	-4.05729
92.375	-4.08499
92.5	-4.11282
92.625	-4.14078
92.75	-4.16886
92.875	-4.19708
93	-4.22543
93.125	-4.25391
93.25	-4.28252
93.375	-4.31126
93.5	-4.34013
93.625	-4.36914
93.75	-4.39827
93.875	-4.42754
94	-4.45695
94.125	-4.48648
94.25	-4.51615
94.375	-4.54596
94.5	-4.5759
94.625	-4.60597
94.75	-4.63618
94.875	-4.66653
95	-4.69701
95.125	-4.72763
95.25	-4.75838
95.375	-4.78927
95.5	-4.8203
95.625	-4.85147
95.75	-4.88277
95.875	-4.91421
96	-4.94579
96.125	-4.97751
96.25	-5.00937
96.375	-5.04138
96.5	-5.07352
96.625	-5.1058
96.75	-5.13822
96.875	-5.17078
97	-5.20349
97.125	-5.23634
97.25	-5.26933
97.375	-5.30246
97.5	-5.33573
97.625	-5.36915
97.75	-5.40272
97.875	-5.43643
98	-5.47028
98.125	-5.50428
98.25	-5.53842
98.375	-5.57271
98.5	-5.60715
98.625	-5.64173
98.75	-5.67646
98.875	-5.71134
99	-5.74636
99.125	-5.78153
99.25	-5.81686
99.375	-5.85233
99.5	-5.88795
99.625	-5.92372
99.75	-5.95964
99.875	-5.99571
100	-6.03193
100.125	-6.06831
100.25	-6.10483
100.375	-6.14151
100.5	-6.17834
100.625	-6.21533
100.75	-6.25246
100.875	-6.28975
101	-6.3272
101.125	-6.3648
101.25	-6.40256
101.375	-6.44047
101.5	-6.47853
101.625	-6.51676
101.75	-6.55514
101.875	-6.59368
102	-6.63237
102.125	-6.67122
102.25	-6.71024
102.375	-6.74941
102.5	-6.78874
102.625	-6.82823
102.75	-6.86788
102.875	-6.90769
103	-6.94766
103.125	-6.9878
103.25	-7.0281
103.375	-7.06856
103.5	-7.10918
103.625	-7.14996
103.75	-7.19091
103.875	-7.23203
104	-7.27331
104.125	-7.31475
104.25	-7.35636
104.375	-7.39814
104.5	-7.44008
104.625	-7.48219
104.75	-7.52447
104.875	-7.56691
105	-7.60953
105.125	-7.65231
105.25	-7.69527
105.375	-7.73839
105.5	-7.78168
105.625	-7.82515
105.75	-7.86878
105.875	-7.91259
106	-7.95657
106.125	-8.00073
106.25	-8.04505
106.375	-8.08956
106.5	-8.13423
106.625	-8.17908
106.75	-8.22411
106.875	-8.26931
107	-8.31469
107.125	-8.36025
107.25	-8.40598
107.375	-8.45189
107.5	-8.49798
107.625	-8.54425
107.75	-8.5907
107.875	-8.63733
108	-8.68414
108.125	-8.73114
108.25	-8.77831
108.375	-8.82567
108.5	-8.8732
108.625	-8.92093
108.75	-8.96883
108.875	-9.01693
109	-9.0652
109.125	-9.11367
109.25	-9.16231
109.375	-9.21115
109.5	-9.26017
109.625	-9.30939
109.75	-9.35879
109.875	-9.40837
110	-9.45815
110.125	-9.50812
110.25	-9.55828
110.375	-9.60864
110.5	-9.65918
110.625	-9.70992
110.75	-9.76085
110.875	-9.81198
111	-9.8633
111.125	-9.91481
111.25	-9.96652
111.375	-10.0184
111.5	-10.0705
111.625	-10.1228
111.75	-10.1753
111.875	-10.228
112	-10.2809
112.125	-10.334
112.25	-10.3873
112.375	-10.4408
112.5	-10.4945
112.625	-10.5485
112.75	-10.6026
112.875	-10.6569
113	-10.7114
113.125	-10.7661
113.25	-10.8211
113.375	-10.8762
113.5	-10.9316
113.625	-10.9871
113.75	-11.0429
113.875	-11.0989
114	-11.1551
114.125	-11.2115
114.25	-11.2681
114.375	-11.3249
114.5	-11.3819
114.625	-11.4392
114.75	-11.4967
114.875	-11.5543
115	-11.6122
115.125	-11.6704
115.25	-11.7287
115.375	-11.7873
115.5	-11.846
115.625	-11.905
115.75	-11.9642
115.875	-12.0237
116	-12.0833
116.125	-12.1432
116.25	-12.2033
116.375	-12.2637
116.5	-12.3242
116.625	-12.385
116.75	-12.4461
116.875	-12.5073
117	-12.5688
117.125	-12.6305
117.25	-12.6924
117.375	-12.7546
117.5	-12.817
117.625	-12.8796
117.75	-12.9425
117.875	-13.0056
118	-13.069
118.125	-13.1325
118.25	-13.1964
118.375	-13.2604
118.5	-13.3247
