# z	 E	 H
#t = 0
14.4	0.0338934	0.0338571
14.5	0.0279158	0.0278853
14.6	0.0218281	0.0218036
14.7	0.0156542	0.0156357
14.8	0.00941855	0.00940619
14.9	0.00314572	0.00313953
15	-0.00313953	-0.00313953
15.1	-0.00941238	-0.00940619
15.2	-0.0156481	-0.0156357
15.3	-0.021822	-0.0218036
15.4	-0.0279099	-0.0278853
15.5	-0.0338876	-0.0338571
15.6	-0.0397315	-0.0396952
15.7	-0.0454187	-0.0453766
15.8	-0.0509266	-0.050879
15.9	-0.0562335	-0.0561806
16	-0.0613185	-0.0612605
16.1	-0.0661614	-0.0660986
16.2	-0.0707433	-0.0706758
16.3	-0.075046	-0.0749741
16.4	-0.0790525	-0.0789765
16.5	-0.0827471	-0.0826672
16.6	-0.086115	-0.0860317
16.7	-0.0891431	-0.0890567
16.8	-0.0918195	-0.0917302
16.9	-0.0941334	-0.0940417
17	-0.0960758	-0.095982
17.1	-0.0976391	-0.0975435
17.2	-0.098817	-0.0987201
17.3	-0.099605	-0.0995071
17.4	-0.0999998	-0.0999013
17.5	-0.1	-0.0999013
17.6	-0.0996055	-0.0995071
17.7	-0.098818	-0.0987201
17.8	-0.0976404	-0.0975435
17.9	-0.0960775	-0.095982
18	-0.0941355	-0.0940417
18.1	-0.0918219	-0.0917302
18.2	-0.089146	-0.0890567
18.3	-0.0861182	-0.0860317
18.4	-0.0827506	-0.0826672
18.5	-0.0790563	-0.0789765
18.6	-0.0750501	-0.0749741
18.7	-0.0707477	-0.0706758
18.8	-0.0661661	-0.0660986
18.9	-0.0613234	-0.0612605
19	-0.0562386	-0.0561806
19.1	-0.0509319	-0.050879
19.2	-0.0454242	-0.0453766
19.3	-0.0397372	-0.0396952
19.4	-0.0338934	-0.0338571
19.5	-0.0279158	-0.0278853
19.6	-0.0218281	-0.0218036
19.7	-0.0156542	-0.0156357
19.8	-0.00784879	-0.00626666
19.9	-0.00314572	0


#t = 0.1
0	0	0.00784572
0.1	0.0117515	0.012524
0.2	0.0187474	0.0187227
0.3	0.0248844	0.0248475
0.4	0.0309232	0.0308742
0.5	0.03684	0.0367791
0.6	0.0426114	0.0425388
0.7	0.0482146	0.0481306
0.8	0.0536275	0.0535325
0.9	0.0588288	0.0587231
1	0.0637979	0.063682
1.1	0.0685152	0.0683895
1.2	0.0729621	0.0728271
1.3	0.0771211	0.0769774
1.4	0.0809757	0.0808238
1.5	0.0845108	0.0843512
1.6	0.0877123	0.0875458
1.7	0.0905677	0.0903948
1.8	0.0930656	0.0928871
1.9	0.0951962	0.0950129
2	0.0969512	0.0967636
2.1	0.0983235	0.0981325
2.2	0.0993078	0.0991141
2.3	0.0999002	0.0997045
2.4	0.100098	0.0999014
2.5	0.0999013	0.0997041
2.6	0.0993101	0.0991133
2.7	0.098327	0.0981313
2.8	0.0969558	0.0967621
2.9	0.095202	0.095011
3	0.0930724	0.0928849
3.1	0.0905756	0.0903922
3.2	0.0877213	0.0875428
3.3	0.0845207	0.0843479
3.4	0.0809867	0.0808201
3.5	0.077133	0.0769734
3.6	0.0729749	0.0728229
3.7	0.0685288	0.068385
3.8	0.0638122	0.0636772
3.9	0.0588438	0.0587181
4	0.0536432	0.0535272
4.1	0.0482308	0.0481252
4.2	0.0426282	0.0425332
4.3	0.0368573	0.0367733
4.4	0.0309409	0.0308683
4.5	0.0249024	0.0248415
4.6	0.0187657	0.0187166
4.7	0.0125549	0.0125179
4.8	0.00629449	0.00626977
4.9	9.28659e-06	-3.09757e-06
5	-0.00627595	-0.00627595
5.1	-0.0125364	-0.012524
5.2	-0.0187474	-0.0187227
5.3	-0.0248844	-0.0248475
5.4	-0.0309232	-0.0308742
5.5	-0.03684	-0.0367791
5.6	-0.0426114	-0.0425388
5.7	-0.0482146	-0.0481306
5.8	-0.0536275	-0.0535325
5.9	-0.0588288	-0.0587231
6	-0.0637979	-0.063682
6.1	-0.0685152	-0.0683895
6.2	-0.0729621	-0.0728271
6.3	-0.0771211	-0.0769774
6.4	-0.0809757	-0.0808238
6.5	-0.0845108	-0.0843512
6.6	-0.0877123	-0.0875458
6.7	-0.0905677	-0.0903948
6.8	-0.0930656	-0.0928871
6.9	-0.0951962	-0.0950129
7	-0.0969512	-0.0967636
7.1	-0.0983235	-0.0981325
7.2	-0.0993078	-0.0991141
7.3	-0.0999002	-0.0997045
7.4	-0.100098	-0.0999014
7.5	-0.0999013	-0.0997041
7.6	-0.0993101	-0.0991133
7.7	-0.098327	-0.0981313
7.8	-0.0969558	-0.0967621
7.9	-0.095202	-0.095011
8	-0.0930724	-0.0928849
8.1	-0.0905756	-0.0903922
8.2	-0.0877213	-0.0875428
8.3	-0.0845207	-0.0843479
8.4	-0.0809867	-0.0808201
8.5	-0.077133	-0.0769734
8.6	-0.0729749	-0.0728229
8.7	-0.0685288	-0.068385
8.8	-0.0638122	-0.0636772
8.9	-0.0588438	-0.0587181
9	-0.0536432	-0.0535272
9.1	-0.0482308	-0.0481252
9.2	-0.0426282	-0.0425332
9.3	-0.0368573	-0.0367733
9.4	-0.0309409	-0.0308683
9.5	-0.0249024	-0.0248415
9.6	-0.0187657	-0.0187166
9.7	-0.0125549	-0.0125179
9.8	-0.00629449	-0.00626977
9.9	-9.28659e-06	3.09757e-06
10	0.00627595	0.00627595
10.1	0.0125364	0.012524
10.2	0.0187474	0.0187227
10.3	0.0248844	0.0248475
10.4	0.0309232	0.0308742
10.5	0.03684	0.0367791
10.6	0.0426114	0.0425388
10.7	0.0482146	0.0481306
10.8	0.0536275	0.0535325
10.9	0.0588288	0.0587231
11	0.0637979	0.063682
11.1	0.0685152	0.0683895
11.2	0.0729621	0.0728271
11.3	0.0771211	0.0769774
11.4	0.0809757	0.0808238
11.5	0.0845108	0.0843512
11.6	0.0877123	0.0875458
11.7	0.0905677	0.0903948
11.8	0.0930656	0.0928871
11.9	0.0951962	0.0950129
12	0.0969512	0.0967636
12.1	0.0983235	0.0981325
12.2	0.0993078	0.0991141
12.3	0.0999002	0.0997045
12.4	0.100098	0.0999014
12.5	0.0999013	0.0997041
12.6	0.0993101	0.0991133
12.7	0.098327	0.0981313
12.8	0.0969558	0.0967621
12.9	0.095202	0.095011
13	0.0930724	0.0928849
13.1	0.0905756	0.0903922
13.2	0.0877213	0.0875428
13.3	0.0845207	0.0843479
13.4	0.0809867	0.0808201
13.5	0.077133	0.0769734
13.6	0.0729749	0.0728229
13.7	0.0685288	0.068385
13.8	0.0638122	0.0636772
13.9	0.0588438	0.0587181
14	0.0536432	0.0535272
14.1	0.0482308	0.0481252
14.2	0.0426282	0.0425332
14.3	0.0368573	0.0367733
14.4	0.0309409	0.0308683
14.5	0.0249024	0.0248415
14.6	0.0187657	0.0187166
14.7	0.0125549	0.0125179
14.8	0.00629449	0.00626977
14.9	9.28659e-06	-3.09757e-06
15	-0.00627595	-0.00627595
15.1	-0.0125364	-0.012524
15.2	-0.0187474	-0.0187227
15.3	-0.0248844	-0.0248475
15.4	-0.0309232	-0.0308742
15.5	-0.03684	-0.0367791
15.6	-0.0426114	-0.0425388
15.7	-0.0482146	-0.0481306
15.8	-0.0536275	-0.0535325
15.9	-0.0588288	-0.0587231
16	-0.0637979	-0.063682
16.1	-0.0685152	-0.0683895
16.2	-0.0729621	-0.0728271
16.3	-0.0771211	-0.0769774
16.4	-0.0809757	-0.0808238
16.5	-0.0845108	-0.0843512
16.6	-0.0877123	-0.0875458
16.7	-0.0905677	-0.0903948
16.8	-0.0930656	-0.0928871
16.9	-0.0951962	-0.0950129
17	-0.0969512	-0.0967636
17.1	-0.0983235	-0.0981325
17.2	-0.0993078	-0.0991141
17.3	-0.0999002	-0.0997045
17.4	-0.100098	-0.0999014
17.5	-0.0999013	-0.0997041
17.6	-0.0993101	-0.0991133
17.7	-0.098327	-0.0981313
17.8	-0.0969558	-0.0967621
17.9	-0.095202	-0.095011
18	-0.0930724	-0.0928849
18.1	-0.0905756	-0.0903922
18.2	-0.0877213	-0.0875428
18.3	-0.0845207	-0.0843479
18.4	-0.0809867	-0.0808201
18.5	-0.077133	-0.0769734
18.6	-0.0729749	-0.0728229
18.7	-0.0685288	-0.068385
18.8	-0.0638122	-0.0636772
18.9	-0.0588438	-0.0587181
19	-0.0536432	-0.0535272
19.1	-0.0482308	-0.0481252
19.2	-0.0426282	-0.0425332
19.3	-0.0368573	-0.0367733
19.4	-0.0309409	-0.0308683
19.5	-0.0249024	-0.0248415
19.6	-0.0187657	-0.0187166
19.7	-0.0121624	-0.011733
19.8	-0.00315342	-0.00234227
19.9	-0.00197459	0


#t = 0.15
0	0	0.0137215
0.1	0.0129018	0.016022
0.2	0.021632	0.0217912
0.3	0.0279223	0.0278669
0.4	0.0339061	0.0338326
0.5	0.0397561	0.0396647
0.6	0.0454492	0.0453404
0.7	0.0509629	0.0508371
0.8	0.0562755	0.0561331
0.9	0.061366	0.0612077
1	0.0662144	0.0660406
1.1	0.0708014	0.070613
1.2	0.075109	0.0749066
1.3	0.0791201	0.0789047
1.4	0.0828191	0.0825913
1.5	0.0861911	0.085952
1.6	0.0892231	0.0889735
1.7	0.0919028	0.0916438
1.8	0.0942199	0.0939525
1.9	0.0961652	0.0958903
2	0.0977309	0.0974498
2.1	0.0989109	0.0986246
2.2	0.0997006	0.0994103
2.3	0.100097	0.0998035
2.4	0.100098	0.099803
2.5	0.0997041	0.0994085
2.6	0.0989167	0.0986217
2.7	0.097739	0.0974457
2.8	0.0961755	0.0958852
