Paso;z;Ex;Hy
3;101.01;-0.0316613;-0.0316613
3;103.03;-0.019077;-0.019077
3;105.051;-0.00618562;-0.00618562
3;107.071;0.00680524;0.00680524
3;109.091;0.0196866;0.0196866
3;111.111;0.0322512;0.0322512
3;113.131;0.0442969;0.0442969
3;115.152;0.0556298;0.0556298
3;117.172;0.0660676;0.0660676
3;119.192;0.0754424;0.0754424
3;121.212;0.0836032;0.0836032
3;123.232;0.0904189;0.0904189
3;125.253;0.0957797;0.0957797
3;127.273;0.0995993;0.0995993
3;129.293;0.101816;0.101816
3;131.313;0.102395;0.102395
3;133.333;0.101326;0.101326
3;135.354;0.0986272;0.0986272
3;137.374;0.0943411;0.0943411
3;139.394;0.088537;0.088537
3;141.414;0.0813083;0.0813083
3;143.434;0.0727714;0.0727714
3;145.455;0.0630635;0.0630635
3;147.475;0.0523409;0.0523409
3;149.495;0.0407761;0.0407761
3;151.515;0.0285552;0.0285552
3;153.535;0.0158749;0.0158749
3;155.556;0.00293907;0.00293907
3;157.576;-0.010044;-0.010044
3;159.596;-0.0228655;-0.0228655
3;161.616;-0.035319;-0.035319
3;163.636;-0.0472043;-0.0472043
3;165.657;-0.05833;-0.05833
3;167.677;-0.0685172;-0.0685172
3;169.697;-0.0776019;-0.0776019
3;171.717;-0.0854379;-0.0854379
3;173.737;-0.0918992;-0.0918992
3;175.758;-0.0968819;-0.0968819
3;177.778;-0.100306;-0.100306
3;179.798;-0.102115;-0.102115
3;181.818;-0.102282;-0.102282
3;183.838;-0.100803;-0.100803
3;185.859;-0.0977022;-0.0977022
3;187.879;-0.0930292;-0.0930292
3;189.899;-0.0868592;-0.0868592
3;191.919;-0.0792917;-0.0792917
3;193.939;-0.0704484;-0.0704484
3;195.96;-0.0604715;-0.0604715
3;197.98;-0.0495216;-0.0495216
3;200;-0.0377749;-0.0377749
4;0;-0.0498255;-0.0498255
4;2.0202;-0.0379794;-0.0379794
4;4.0404;-0.0255222;-0.0255222
4;6.06061;-0.0126543;-0.0126543
4;8.08081;0.000417215;0.000417215
4;10.101;0.013482;0.013482
4;12.1212;0.0263298;0.0263298
4;14.1414;0.038754;0.038754
4;16.1616;0.0505547;0.0505547
4;18.1818;0.0615418;0.0615418
4;20.202;0.0715388;0.0715388
4;22.2222;0.0803847;0.0803847
4;24.2424;0.0879371;0.0879371
4;26.2626;0.0940746;0.0940746
4;28.2828;0.0986984;0.0986984
4;30.303;0.101734;0.101734
4;32.3232;0.103133;0.103133
4;34.3434;0.102872;0.102872
4;36.3636;0.100956;0.100956
4;38.3838;0.0974159;0.0974159
4;40.404;0.0923081;0.0923081
4;42.4242;0.0857151;0.0857151
4;44.4444;0.0777428;0.0777428
4;46.4646;0.0685196;0.0685196
4;48.4848;0.0581939;0.0581939
4;50.5051;0.0469319;0.0469319
4;52.5253;0.0349147;0.0349147
4;54.5455;0.0223357;0.0223357
4;56.5657;0.00939731;0.00939731
4;58.5859;-0.00369228;-0.00369228
4;60.6061;-0.0167225;-0.0167225
4;62.6263;-0.0294836;-0.0294836
4;64.6465;-0.0417703;-0.0417703
