Paso;z;Ex;Hy
2;167.677;-0.0796859;-0.0796859
2;169.697;-0.0869062;-0.0869062
2;171.717;-0.092728;-0.092728
2;173.737;-0.0970579;-0.0970579
2;175.758;-0.099826;-0.099826
2;177.778;-0.100988;-0.100988
2;179.798;-0.100525;-0.100525
2;181.818;-0.0984444;-0.0984444
2;183.838;-0.0947799;-0.0947799
2;185.859;-0.0895903;-0.0895903
2;187.879;-0.0829592;-0.0829592
2;189.899;-0.0749933;-0.0749933
2;191.919;-0.0658206;-0.0658206
2;193.939;-0.055589;-0.055589
2;195.96;-0.0444628;-0.0444628
2;197.98;-0.0366722;-0.0366722
2;200;0;0
3;0;0;0
3;2.0202;-0.00561212;-0.00561212
3;4.0404;-0.00334544;-0.00334544
3;6.06061;0.00791325;0.00791325
3;8.08081;0.020665;0.020665
3;10.101;0.0330842;0.0330842
3;12.1212;0.0449711;0.0449711
3;14.1414;0.0561344;0.0561344
3;16.1616;0.0663945;0.0663945
3;18.1818;0.0755863;0.0755863
3;20.202;0.0835618;0.0835618
3;22.2222;0.0901928;0.0901928
3;24.2424;0.0953726;0.0953726
3;26.2626;0.0990178;0.0990178
3;28.2828;0.10107;0.10107
3;30.303;0.101495;0.101495
3;32.3232;0.100288;0.100288
3;34.3434;0.097467;0.097467
3;36.3636;0.0930777;0.0930777
3;38.3838;0.0871907;0.0871907
3;40.404;0.0799007;0.0799007
3;42.4242;0.0713252;0.0713252
3;44.4444;0.061602;0.061602
3;46.4646;0.0508875;0.0508875
3;48.4848;0.0393543;0.0393543
3;50.5051;0.0271879;0.0271879
3;52.5253;0.014584;0.014584
3;54.5455;0.00174545;0.00174545
3;56.5657;-0.0111212;-0.0111212
3;58.5859;-0.0238089;-0.0238089
3;60.6061;-0.0361135;-0.0361135
3;62.6263;-0.047837;-0.047837
3;64.6465;-0.0587908;-0.0587908
3;66.6667;-0.0687987;-0.0687987
3;68.6869;-0.0776995;-0.0776995
3;70.7071;-0.0853502;-0.0853502
3;72.7273;-0.0916275;-0.0916275
3;74.7475;-0.0964305;-0.0964305
3;76.7677;-0.0996819;-0.0996819
3;78.7879;-0.101329;-0.101329
3;80.8081;-0.101346;-0.101346
3;82.8283;-0.0997327;-0.0997327
3;84.8485;-0.0965144;-0.0965144
3;86.8687;-0.091743;-0.091743
3;88.8889;-0.0854955;-0.0854955
3;90.9091;-0.0778723;-0.0778723
3;92.9293;-0.0689961;-0.0689961
3;94.9495;-0.0590098;-0.0590098
3;96.9697;-0.048074;-0.048074
3;98.9899;-0.0363646;-0.0363646
3;101.01;-0.0240701;-0.0240701
3;103.03;-0.0113883;-0.0113883
3;105.051;0.00147669;0.00147669
3;107.071;0.0143179;0.0143179
3;109.091;0.0269288;0.0269288
3;111.111;0.0391064;0.0391064
3;113.131;0.0506548;0.0506548
3;115.152;0.0613881;0.0613881
3;117.172;0.0711336;0.0711336
3;119.192;0.0797346;0.0797346
3;121.212;0.0870526;0.0870526
3;123.232;0.0929699;0.0929699
3;125.253;0.0973913;0.0973913
3;127.273;0.100246;0.100246
3;129.293;0.101487;0.101487
3;131.313;0.101095;0.101095
3;133.333;0.099077;0.099077
3;135.354;0.0954645;0.0954645
3;137.374;0.090316;0.090316
3;139.394;0.0837142;0.0837142
3;141.414;0.0757655;0.0757655
3;143.434;0.0665976;0.0665976
3;145.455;0.0563582;0.0563582
3;147.475;0.045212;0.045212
3;149.495;0.0333382;0.0333382
3;151.515;0.0209281;0.0209281
3;153.535;0.0081812;0.0081812
3;155.556;-0.00469733;-0.00469733
3;157.576;-0.0175003;-0.0175003
3;159.596;-0.0300216;-0.0300216
3;161.616;-0.0420599;-0.0420599
3;163.636;-0.0534215;-0.0534215
3;165.657;-0.0639235;-0.0639235
3;167.677;-0.0733969;-0.0733969
3;169.697;-0.0816893;-0.0816893
3;171.717;-0.0886673;-0.0886673
3;173.737;-0.0942187;-0.0942187
3;175.758;-0.098254;-0.098254
3;177.778;-0.100708;-0.100708
3;179.798;-0.101542;-0.101542
3;181.818;-0.100742;-0.100742
3;183.838;-0.0983215;-0.0983215
3;185.859;-0.0943186;-0.0943186
3;187.879;-0.088798;-0.088798
3;189.899;-0.0818487;-0.0818487
3;191.919;-0.0735824;-0.0735824
3;193.939;-0.0641321;-0.0641321
3;195.96;-0.0520295;-0.0520295
3;197.98;-0.0544573;-0.0544573
3;200;0;0
4;0;0;0
4;2.0202;-0.00427394;-0.00427394
4;4.0404;-0.00875559;-0.00875559
4;6.06061;-0.00169092;-0.00169092
4;8.08081;0.0105966;0.0105966
4;10.101;0.0233618;0.0233618
4;12.1212;0.0357511;0.0357511
4;14.1414;0.0475651;0.0475651
4;16.1616;0.0586138;0.0586138
4;18.1818;0.0687193;0.0687193
4;20.202;0.0777192;0.0777192
4;22.2222;0.0854685;0.0854685
4;24.2424;0.0918426;0.0918426
4;26.2626;0.0967389;0.0967389
4;28.2828;0.100079;0.100079
4;30.303;0.101808;0.101808
4;32.3232;0.101899;0.101899
4;34.3434;0.100351;0.100351
4;36.3636;0.0971882;0.0971882
4;38.3838;0.0924614;0.0924614
