# Tiempo: 0.000000
# k	zE	zH	Ex	Hy
36	36.0000000000	36.5000000000	0.0770513243	0.0750111070
37	37.0000000000	37.5000000000	0.0728968627	0.0707106781
38	38.0000000000	38.5000000000	0.0684547106	0.0661311865
39	39.0000000000	39.5000000000	0.0637423990	0.0612907054
40	40.0000000000	40.5000000000	0.0587785252	0.0562083378
41	41.0000000000	41.5000000000	0.0535826795	0.0509041416
42	42.0000000000	42.5000000000	0.0481753674	0.0453990500
43	43.0000000000	43.5000000000	0.0425779292	0.0397147891
44	44.0000000000	44.5000000000	0.0368124553	0.0338737920
45	45.0000000000	45.5000000000	0.0309016994	0.0278991106
46	46.0000000000	46.5000000000	0.0248689887	0.0218143241
47	47.0000000000	47.5000000000	0.0187381315	0.0156434465
48	48.0000000000	48.5000000000	0.0125333234	0.0094108313
49	49.0000000000	49.5000000000	0.0062790520	0.0031410759
50	50.0000000000	50.5000000000	0.0000000000	-0.0031410759
51	51.0000000000	51.5000000000	-0.0062790520	-0.0094108313
52	52.0000000000	52.5000000000	-0.0125333234	-0.0156434465
53	53.0000000000	53.5000000000	-0.0187381315	-0.0218143241
54	54.0000000000	54.5000000000	-0.0248689887	-0.0278991106
55	55.0000000000	55.5000000000	-0.0309016994	-0.0338737920
56	56.0000000000	56.5000000000	-0.0368124553	-0.0397147891
57	57.0000000000	57.5000000000	-0.0425779292	-0.0453990500
58	58.0000000000	58.5000000000	-0.0481753674	-0.0509041416
59	59.0000000000	59.5000000000	-0.0535826795	-0.0562083378
60	60.0000000000	60.5000000000	-0.0587785252	-0.0612907054
61	61.0000000000	61.5000000000	-0.0637423990	-0.0661311865
62	62.0000000000	62.5000000000	-0.0684547106	-0.0707106781
63	63.0000000000	63.5000000000	-0.0728968627	-0.0750111070
64	64.0000000000	64.5000000000	-0.0770513243	-0.0790155012
65	65.0000000000	65.5000000000	-0.0809016994	-0.0827080574
66	66.0000000000	66.5000000000	-0.0844327926	-0.0860742027
67	67.0000000000	67.5000000000	-0.0876306680	-0.0891006524
68	68.0000000000	68.5000000000	-0.0904827052	-0.0917754626
69	69.0000000000	69.5000000000	-0.0929776486	-0.0940880769
70	70.0000000000	70.5000000000	-0.0951056516	-0.0960293686
71	71.0000000000	71.5000000000	-0.0968583161	-0.0975916762
72	72.0000000000	72.5000000000	-0.0982287251	-0.0987688341
73	73.0000000000	73.5000000000	-0.0992114701	-0.0995561965
74	74.0000000000	74.5000000000	-0.0998026728	-0.0999506560
75	75.0000000000	75.5000000000	-0.1000000000	-0.0999506560
76	76.0000000000	76.5000000000	-0.0998026728	-0.0995561965
77	77.0000000000	77.5000000000	-0.0992114701	-0.0987688341
78	78.0000000000	78.5000000000	-0.0982287251	-0.0975916762
79	79.0000000000	79.5000000000	-0.0968583161	-0.0960293686
80	80.0000000000	80.5000000000	-0.0951056516	-0.0940880769
81	81.0000000000	81.5000000000	-0.0929776486	-0.0917754626
82	82.0000000000	82.5000000000	-0.0904827052	-0.0891006524
83	83.0000000000	83.5000000000	-0.0876306680	-0.0860742027
84	84.0000000000	84.5000000000	-0.0844327926	-0.0827080574
85	85.0000000000	85.5000000000	-0.0809016994	-0.0790155012
86	86.0000000000	86.5000000000	-0.0770513243	-0.0750111070
87	87.0000000000	87.5000000000	-0.0728968627	-0.0707106781
88	88.0000000000	88.5000000000	-0.0684547106	-0.0661311865
89	89.0000000000	89.5000000000	-0.0637423990	-0.0612907054
90	90.0000000000	90.5000000000	-0.0587785252	-0.0562083378
91	91.0000000000	91.5000000000	-0.0535826795	-0.0509041416
92	92.0000000000	92.5000000000	-0.0481753674	-0.0453990500
93	93.0000000000	93.5000000000	-0.0425779292	-0.0397147891
94	94.0000000000	94.5000000000	-0.0368124553	-0.0338737920
95	95.0000000000	95.5000000000	-0.0309016994	-0.0278991106
96	96.0000000000	96.5000000000	-0.0248689887	-0.0218143241
97	97.0000000000	97.5000000000	-0.0187381315	-0.0156434465
98	98.0000000000	98.5000000000	-0.0125333234	-0.0094108313
99	99.0000000000	99.5000000000	-0.0062790520	-0.0031410759
100	100.0000000000	100.5000000000	-0.0000000000	0.0031410759
101	101.0000000000	101.5000000000	0.0062790520	0.0094108313
102	102.0000000000	102.5000000000	0.0125333234	0.0156434465
103	103.0000000000	103.5000000000	0.0187381315	0.0218143241
104	104.0000000000	104.5000000000	0.0248689887	0.0278991106
105	105.0000000000	105.5000000000	0.0309016994	0.0338737920
106	106.0000000000	106.5000000000	0.0368124553	0.0397147891
